player_id,player_name
Kevin Gamble,Kevin
Kevin Garnett,Kevin
Kevin Johnson,Kevin
Kevin Salvadori,Kevin
Kevin Willis,Kevin
Khalid Reeves,Khalid
Kobe Bryant,Kobe
Kurt Thomas,Kurt
LaPhonso Ellis,LaPhonso
LaSalle Thompson,LaSalle
Lamond Murray,Lamond
Larry Johnson,Larry
Larry Krystkowiak,Larry
Larry Stewart,Larry
Latrell Sprewell,Latrell
Lawrence Moten,Lawrence
Lee Mayberry,Lee
Lindsey Hunter,Lindsey
Lionel Simmons,Lionel
Litterial Green,Litterial
Lloyd Daniels,Lloyd
Loren Meyer,Loren
Lorenzen Wright,Lorenzen
Lorenzo Williams,Lorenzo
Lou Roe,Lou
Loy Vaught,Loy
Luc Longley,Luc
Lucious Harris,Lucious
Mahmoud Abdul-Rauf,Mahmoud
Malik Rose,Malik
Malik Sealy,Malik
Marcus Brown,Marcus
Marcus Camby,Marcus
Mario Elie,Mario
Mark Bradtke,Mark
Mark Bryant,Mark
Mark Davis,Mark
Mark Hendrickson,Mark
Mark Jackson,Mark
Mark Price,Mark
Mark Strickland,Mark
Mark West,Mark
Martin Lewis,Martin
Martin Muursepp,Martin
Marty Conlon,Marty
Matt Bullard,Matt
Matt Fish,Matt
Matt Geiger,Matt
Matt Maloney,Matt
Matt Steigenga,Matt
Melvin Booker,Melvin
Michael Cage,Michael
Michael Curry,Michael
Michael Finley,Michael
Michael Hawkins,Michael
Michael Jordan,Michael
Michael Smith,Michael
Mike Brown,Mike
Mitch Richmond,Mitch
Mitchell Butler,Mitchell
Monty Williams,Monty
Moochie Norris,Moochie
Mookie Blaylock,Mookie
Muggsy Bogues,Muggsy
Nate Driggers,Nate
Nate McMillan,Nate
Nick Anderson,Nick
Nick Van Exel,Nick
Olden Polynice,Olden
Oliver Miller,Oliver
Othella Harrington,Othella
Otis Thorpe,Otis
P.J. Brown,P.J.
Patrick Ewing,Patrick
Pervis Ellison,Pervis
Pete Chilcutt,Pete
Pooh Richardson,Pooh
Popeye Jones,Popeye
Priest Lauderdale,Priest
Rafael Addison,Rafael
Randolph Childress,Randolph
Randy Brown,Randy
Randy Livingston,Randy
Rasheed Wallace,Rasheed
Ray Allen,Ray
Ray Owes,Ray
Reggie Geary,Reggie
Reggie Jordan,Reggie
Reggie Miller,Reggie
Reggie Slater,Reggie
Reggie Williams,Reggie
Rex Chapman,Rex
Rex Walters,Rex
Richard Manning,Richard
Rick Fox,Rick
Rick Mahorn,Rick
Ricky Pierce,Ricky
Rik Smits,Rik
Robert Horry,Robert
Robert Pack,Robert
Robert Parish,Robert
Robert Werdann,Robert
Rod Strickland,Rod
Rodney Rogers,Rodney
Ron Harper,Ron
Rony Seikaly,Rony
Roy Rogers,Roy
Ruben Nembhard,Ruben
Rumeal Robinson,Rumeal
Sam Cassell,Sam
Sam Mack,Sam
Sam Mitchell,Sam
Sam Perkins,Sam
Samaki Walker,Samaki
Sarunas Marciulionis,Sarunas
Sasha Danilovic,Sasha
Scott Brooks,Scott
Scott Burrell,Scott
Scott Williams,Scott
Scottie Pippen,Scottie
Sean Elliott,Sean
Sean Rooks,Sean
Sedale Threatt,Sedale
Shandon Anderson,Shandon
Shane Heal,Shane
Shaquille O'Neal,Shaquille
Shareef Abdur-Rahim,Shareef
Sharone Wright,Sharone
Shawn Bradley,Shawn
Shawn Kemp,Shawn
Shawn Respert,Shawn
Shawnelle Scott,Shawnelle
Sherman Douglas,Sherman
Stacey Augmon,Stacey
Stacey King,Stacey
Stanley Roberts,Stanley
Stephen Howard,Stephen
Stephon Marbury,Stephon
Steve Hamer,Steve
Steve Kerr,Steve
Steve Nash,Steve
Steve Scheffler,Steve
Steven Smith,Steven
Stevin Smith,Stevin
Stojko Vrankovic,Stojko
Terrell Brandon,Terrell
Terry Cummings,Terry
Terry Dehere,Terry
Terry Mills,Terry
Terry Porter,Terry
Theo Ratliff,Theo
Tim Hardaway,Tim
Tim Kempton,Tim
Tim Legler,Tim
Todd Day,Todd
Todd Fuller,Todd
Tom Chambers,Tom
Tom Gugliotta,Tom
Tom Hammonds,Tom
Toni Kukoc,Toni
Tony Delk,Tony
Tony Dumas,Tony
Tony Massenburg,Tony
Tony Smith,Tony
Tracy Moore,Tracy
Tracy Murray,Tracy
Travis Best,Travis
Travis Knight,Travis
Tyrone Corbin,Tyrone
Tyrone Hill,Tyrone
Tyus Edney,Tyus
Vernon Maxwell,Vernon
Vin Baker,Vin
Vincent Askew,Vincent
Vinny Del Negro,Vinny
Vitaly Potapenko,Vitaly
Vlade Divac,Vlade
Voshon Lenard,Voshon
Walt Williams,Walt
Walter McCarty,Walter
Wayman Tisdale,Wayman
Wesley Person,Wesley
Will Perdue,Will
Willie Anderson,Willie
Willie Burton,Willie
Xavier McDaniel,Xavier
Yinka Dare,Yinka
Zan Tabak,Zan
,
,
,
A.C. Green,A.C.
Aaron McKie,Aaron
Aaron Williams,Aaron
Adam Keefe,Adam
Adonal Foyle,Adonal
Adrian Caldwell,Adrian
Alan Henderson,Alan
Allan Houston,Allan
Allen Iverson,Allen
Alonzo Mourning,Alonzo
Alton Lister,Alton
Alvin Williams,Alvin
Andrew DeClercq,Andrew
Andrew Lang,Andrew
Anfernee Hardaway,Anfernee
Anthony Bowie,Anthony
