,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
447,14,OKC,Cameron Payne,Murray State,7,255,4412,1859,548,747,.419,.364,.834,17.3,7.3,2.1,2.9,6.8,.074,-0.7,1.5
448,15,ATL,Kelly Oubre Jr.,Kansas,7,443,11190,5296,1929,449,.436,.334,.757,25.3,12.0,4.4,1.0,16.2,.069,-1.8,0.6
449,16,BOS,Terry Rozier,Louisville,7,435,10964,5184,1669,1289,.412,.377,.813,25.2,11.9,3.8,3.0,19.9,.087,0.4,6.5
450,17,MIL,Rashad Vaughn,UNLV,3,139,1671,423,158,75,.337,.313,.692,12.0,3.0,1.1,0.5,-0.6,-.017,-4.7,-1.2
451,18,HOU,Sam Dekker,Wisconsin,5,201,3097,1094,607,160,.478,.288,.606,15.4,5.4,3.0,0.8,5.4,.083,-1.4,0.5
452,19,WAS,Jerian Grant,Notre Dame,5,279,4998,1692,530,805,.411,.323,.770,17.9,6.1,1.9,2.9,8.3,.080,-1.6,0.5
453,20,TOR,Delon Wright,Utah,7,368,7723,2751,1198,1143,.452,.353,.795,21.0,7.5,3.3,3.1,20.3,.126,2.0,7.8
454,21,DAL,Justin Anderson,Virginia,6,232,3041,1203,585,160,.412,.293,.776,13.1,5.2,2.5,0.7,4.7,.074,-1.4,0.4
455,22,CHI,Bobby Portis,Arkansas,7,414,8740,4487,2640,495,.470,.387,.757,21.1,10.8,6.4,1.2,18.7,.103,-0.6,3.1
456,23,POR,Rondae Hollis-Jefferson,Arizona,6,305,6759,2760,1684,579,.449,.212,.735,22.2,9.0,5.5,1.9,12.9,.091,-0.7,2.3
457,24,CLE,Tyus Jones,Duke,7,423,7704,2510,733,1536,.436,.344,.827,18.2,5.9,1.7,3.6,17.0,.106,0.3,4.4
458,25,MEM,Jarell Martin,LSU,4,184,2927,998,639,114,.434,.346,.766,15.9,5.4,3.5,0.6,3.2,.053,-4.3,-1.7
459,26,SAS,Nikola Milutinov,,,,,,,,,,,,,,,,,,
460,27,LAL,Larry Nance Jr.,Wyoming,7,387,9345,3144,2538,739,.528,.330,.684,24.1,8.1,6.6,1.9,24.2,.124,1.1,7.3
461,28,BOS,R.J. Hunter,Georgia State University,4,45,395,133,46,19,.371,.295,.818,8.8,3.0,1.0,0.4,0.4,.051,-2.0,0.0
462,29,BRK,Chris McCullough,Syracuse,3,59,532,194,112,15,.426,.306,.548,9.0,3.3,1.9,0.3,0.6,.054,-2.5,-0.1
463,30,GSW,Kevon Looney,UCLA,7,324,5061,1463,1414,394,.561,.172,.605,15.6,4.5,4.4,1.2,16.7,.158,-0.5,1.9
466,31,MIN,Cedi Osman,,5,289,7169,2877,984,614,.423,.354,.731,24.8,10.0,3.4,2.1,6.4,.043,-2.4,-0.8
467,32,HOU,Montrezl Harrell,Louisville,7,420,9061,5446,2240,570,.618,.114,.659,21.6,13.0,5.3,1.4,37.7,.199,2.9,11.2
468,33,BOS,Jordan Mickey,LSU,3,64,482,152,128,17,.449,.118,.605,7.5,2.4,2.0,0.3,0.5,.050,-4.8,-0.3
469,34,LAL,Anthony Brown,Stanford,3,41,762,161,103,28,.328,.286,.850,18.6,3.9,2.5,0.7,-0.2,-.016,-5.1,-0.6
470,35,PHI,Willy Hernangómez,,6,279,4194,1987,1618,296,.539,.317,.685,15.0,7.1,5.8,1.1,12.8,.147,0.2,2.3
471,36,MIN,Rakeem Christmas,Syracuse,2,30,225,63,57,4,.467,,.724,7.5,2.1,1.9,0.1,0.5,.105,-4.7,-0.2
472,37,PHI,Richaun Holmes,Bowling Green,7,358,7555,3477,2085,390,.606,.257,.747,21.1,9.7,5.8,1.1,26.1,.166,0.7,5.1
473,38,DET,Darrun Hilliard,Villanova,3,91,859,295,85,71,.377,.304,.747,9.4,3.2,0.9,0.8,0.3,.016,-4.7,-0.6
474,39,CHO,Juan Pablo Vaulet,,,,,,,,,,,,,,,,,,
475,40,MIA,Josh Richardson,Tennessee,7,401,12151,4903,1270,1097,.428,.361,.833,30.3,12.2,3.2,2.7,22.2,.088,-0.5,4.7
476,41,BRK,Pat Connaughton,Notre Dame,7,391,7128,2256,1301,494,.448,.363,.787,18.2,5.8,3.3,1.3,17.0,.114,0.0,3.6
477,42,UTA,Olivier Hanlan,Boston College,,,,,,,,,,,,,,,,,
478,43,IND,Joe Young,Oregon,3,127,1077,429,130,119,.393,.296,.768,8.5,3.4,1.0,0.9,0.4,.016,-4.1,-0.6
479,44,PHO,Andrew Harrison,Kentucky,3,145,2987,1012,287,399,.373,.294,.779,20.6,7.0,2.0,2.8,3.2,.051,-2.8,-0.6
480,45,BOS,Marcus Thornton,William & Mary,,,,,,,,,,,,,,,,,
481,46,MIL,Norman Powell,UCLA,7,410,9085,4557,1041,602,.462,.380,.834,22.2,11.1,2.5,1.5,18.9,.100,-0.2,4.1
482,47,PHI,Artūras Gudaitis,,,,,,,,,,,,,,,,,,
483,48,OKC,Dakari Johnson,Kentucky,1,31,161,55,34,8,.564,,.550,5.2,1.8,1.1,0.3,0.6,.178,-0.3,0.1
484,49,WAS,Aaron White,Iowa,,,,,,,,,,,,,,,,,
485,50,ATL,Marcus Eriksson,,,,,,,,,,,,,,,,,,
486,51,ORL,Tyler Harvey,Eastern Washington,,,,,,,,,,,,,,,,,
487,52,DAL,Satnam Singh,,,,,,,,,,,,,,,,,,
488,53,CLE,Sir'Dominic Pointer,St. John's,,,,,,,,,,,,,,,,,
489,54,UTA,Dani Díez,,,,,,,,,,,,,,,,,,
490,55,SAS,Cady Lalanne,UMass,,,,,,,,,,,,,,,,,
491,56,NOP,Branden Dawson,Michigan State,1,6,29,5,4,0,.400,,1.000,4.8,0.8,0.7,0.0,0.0,.069,-5.7,0.0
492,57,DEN,Nikola Radičević,,,,,,,,,,,,,,,,,,
493,58,PHI,J.P. Tokoto,UNC,,,,,,,,,,,,,,,,,
494,59,ATL,Dimitrios Agravanis,,,,,,,,,,,,,,,,,,
495,60,PHI,Luka Mitrović,,,,,,,,,,,,,,,,,,
496,1,PHI,Ben Simmons,LSU,4,275,9326,4382,2217,2127,.560,.147,.597,33.9,15.9,8.1,7.7,30.4,.156,3.7,13.5
497,2,LAL,Brandon Ingram,Duke,6,344,11283,6265,1767,1258,.459,.363,.763,32.8,18.2,5.1,3.7,16.4,.070,-0.5,4.2
498,3,BOS,Jaylen Brown,California,6,363,10234,5712,1754,666,.471,.376,.707,28.2,15.7,4.8,1.8,20.4,.096,-0.1,4.8
499,4,PHO,Dragan Bender,,4,187,3755,1014,720,237,.399,.323,.654,20.1,5.4,3.9,1.3,0.5,.006,-3.9,-1.9
500,5,MIN,Kris Dunn,Providence,5,231,5561,1889,766,950,.420,.305,.727,24.1,8.2,3.3,4.1,3.7,.032,-1.9,0.1
501,6,NOP,Buddy Hield,Oklahoma,6,429,12405,6842,1812,1036,.430,.402,.864,28.9,15.9,4.2,2.4,16.5,.064,0.3,7.3
502,7,DEN,Jamal Murray,Kentucky,5,345,10384,5639,1258,1322,.446,.367,.878,30.1,16.3,3.6,3.8,20.8,.096,0.3,6.0
503,8,SAC,Marquese Chriss,Washington,6,268,5111,2113,1304,283,.458,.291,.667,19.1,7.9,4.9,1.1,6.0,.056,-2.3,-0.4
504,9,TOR,Jakob Poeltl,Utah,6,380,7356,2517,2173,499,.626,.500,.505,19.4,6.6,5.7,1.3,24.8,.162,0.8,5.2
505,10,MIL,Thon Maker,,5,263,3624,1216,726,161,.435,.327,.680,13.8,4.6,2.8,0.6,6.6,.087,-2.1,-0.1
506,11,ORL,Domantas Sabonis,Gonzaga,6,392,11021,5543,3521,1345,.532,.322,.728,28.1,14.1,9.0,3.4,33.1,.144,1.6,10.1
507,12,UTA,Taurean Prince,Baylor,6,330,8196,3533,1329,604,.409,.366,.821,24.8,10.7,4.0,1.8,6.5,.038,-2.0,0.0
508,13,PHO,Georgios Papagiannis,,2,39,477,160,123,29,.514,.000,.857,12.2,4.1,3.2,0.7,0.4,.044,-3.9,-0.2
509,14,CHI,Denzel Valentine,Michigan State,5,254,4799,1790,853,466,.393,.360,.787,18.9,7.0,3.4,1.8,4.5,.045,-1.8,0.2
510,15,DEN,Juancho Hernangómez,,6,275,4306,1477,933,174,.424,.346,.692,15.7,5.4,3.4,0.6,7.0,.079,-2.0,0.0
511,16,BOS,Guerschon Yabusele,,2,74,486,173,105,31,.442,.323,.682,6.6,2.3,1.4,0.4,1.1,.105,-1.9,0.0
512,17,MEM,Wade Baldwin,Vanderbilt,3,56,579,174,69,78,.355,.250,.776,10.3,3.1,1.2,1.4,-0.3,-.028,-5.3,-0.5
513,18,DET,Henry Ellenson,Marquette,5,83,787,342,206,49,.371,.336,.773,9.5,4.1,2.5,0.6,0.4,.023,-3.7,-0.3
514,19,DEN,Malik Beasley,Florida State,6,297,6135,3029,725,369,.432,.378,.809,20.7,10.2,2.4,1.2,8.7,.068,-1.1,1.3
515,20,IND,Caris LeVert,Michigan,6,288,7830,4161,1094,1121,.435,.333,.739,27.2,14.4,3.8,3.9,11.0,.067,-0.3,3.3
516,21,ATL,DeAndre' Bembry,Saint Joseph's,6,274,5320,1667,896,509,.473,.282,.609,19.4,6.1,3.3,1.9,4.1,.037,-2.3,-0.4
517,22,CHO,Malachi Richardson,Syracuse,3,70,625,198,70,24,.358,.301,.783,8.9,2.8,1.0,0.3,-0.1,-.009,-6.1,-0.7
518,23,BOS,Ante Žižić,,3,113,1517,674,446,64,.581,,.711,13.4,6.0,3.9,0.6,3.5,.110,-2.6,-0.2
519,24,PHI,Timothé Luwawu-Cabarrot,,6,302,4948,1833,617,274,.390,.333,.827,16.4,6.1,2.0,0.9,4.2,.041,-4.1,-2.6
520,25,LAC,Brice Johnson,UNC,2,21,107,47,34,3,.449,.000,.600,5.1,2.2,1.6,0.1,0.1,.062,-0.6,0.0
521,26,PHI,Furkan Korkmaz,,5,223,4160,1815,506,294,.406,.363,.764,18.7,8.1,2.3,1.3,6.6,.076,-1.5,0.6
522,27,TOR,Pascal Siakam,New Mexico State,6,356,10055,5234,2143,989,.487,.326,.778,28.2,14.7,6.0,2.8,27.6,.132,1.3,8.4
523,28,PHO,Skal Labissière,Kentucky,4,148,2595,1069,662,152,.492,.353,.748,17.5,7.2,4.5,1.0,4.4,.081,-2.3,-0.2
524,29,SAS,Dejounte Murray,Washington,5,286,7060,3176,1639,1218,.449,.333,.752,24.7,11.1,5.7,4.3,12.0,.082,0.9,5.2
525,30,GSW,Damian Jones,Vanderbilt,6,168,2372,809,545,113,.660,.240,.696,14.1,4.8,3.2,0.7,6.9,.139,-1.6,0.2
528,31,BOS,Deyonta Davis,Michigan State,3,107,1299,454,346,47,.599,.000,.635,12.1,4.2,3.2,0.4,3.6,.131,-2.1,0.0
529,32,LAL,Ivica Zubac,,6,321,5914,2568,2014,331,.596,.100,.761,18.4,8.0,6.3,1.0,22.8,.185,0.7,4.1
530,33,LAC,Cheick Diallo,Kansas,5,183,2186,958,759,78,.596,.286,.774,11.9,5.2,4.1,0.4,6.4,.140,-1.4,0.3
531,34,PHO,Tyler Ulis,Kentucky,3,133,2782,998,223,537,.403,.280,.808,20.9,7.5,1.7,4.0,0.5,.008,-3.6,-1.1
532,35,BOS,Rade Zagorac,,,,,,,,,,,,,,,,,,
533,36,MIL,Malcolm Brogdon,Virginia,6,323,9737,4966,1352,1542,.464,.378,.883,30.1,15.4,4.2,4.8,24.1,.119,1.1,7.7
534,37,HOU,Chinanu Onuaku,Louisville,2,6,74,18,14,4,.583,,1.000,12.3,3.0,2.3,0.7,0.1,.043,-5.4,-0.1
535,38,MIL,Patrick McCaw,UNLV,5,199,3373,760,319,270,.420,.305,.785,16.9,3.8,1.6,1.4,4.4,.062,-2.8,-0.6
536,39,NOP,David Michineau,,,,,,,,,,,,,,,,,,
537,40,NOP,Diamond Stone,Maryland,1,7,24,10,6,0,.231,,1.000,3.4,1.4,0.9,0.0,-0.1,-.211,-20.8,-0.1
538,41,ORL,Stephen Zimmerman,UNLV,1,19,108,23,35,4,.323,,.600,5.7,1.2,1.8,0.2,0.0,-.005,-8.3,-0.2
539,42,UTA,Isaiah Whitehead,Seton Hall,2,89,1823,643,210,212,.411,.305,.788,20.5,7.2,2.4,2.4,-0.9,-.025,-5.0,-1.4
540,43,HOU,Zhou Qi,,2,19,125,24,22,2,.212,.105,.667,6.6,1.3,1.2,0.1,-0.2,-.093,-9.6,-0.2
541,44,ATL,Isaïa Cordinier,,,,,,,,,,,,,,,,,,
542,45,BOS,Demetrius Jackson,Notre Dame,3,26,136,48,19,17,.486,.286,.667,5.2,1.8,0.7,0.7,0.2,.087,-0.5,0.1
543,46,DAL,A.J. Hammons,Purdue,1,22,163,48,36,4,.405,.500,.450,7.4,2.2,1.6,0.2,0.0,-.001,-6.6,-0.2
544,47,ORL,Jake Layman,Maryland,6,227,3023,1138,404,123,.459,.298,.720,13.3,5.0,1.8,0.5,3.7,.058,-2.3,-0.2
545,48,CHI,Paul Zipser,,2,98,1667,458,256,82,.371,.335,.769,17.0,4.7,2.6,0.8,0.0,-.001,-5.2,-1.4
546,49,DET,Michael Gbinije,Syracuse,1,9,32,4,3,2,.100,.000,1.000,3.6,0.4,0.3,0.2,-0.1,-.136,-12.1,-0.1
547,50,IND,Georges Niang,Iowa State,6,263,3506,1503,510,191,.439,.403,.864,13.3,5.7,1.9,0.7,6.8,.093,-0.8,1.1
548,51,BOS,Ben Bentil,Providence,1,3,10,0,2,0,.000,.000,,3.3,0.0,0.7,0.0,-0.1,-.473,-25.9,-0.1
549,52,UTA,Joel Bolomboy,Weber State,2,18,91,31,27,2,.545,.200,.500,5.1,1.7,1.5,0.1,0.3,.132,-0.1,0.0
550,53,DEN,Petr Cornelie,,1,13,38,14,14,3,.333,.125,.750,2.9,1.1,1.1,0.2,0.0,-.010,-8.9,-0.1
551,54,ATL,Kay Felder,Oakland,2,58,526,223,59,78,.364,.268,.754,9.1,3.8,1.0,1.3,-0.4,-.041,-4.7,-0.4
552,55,BRK,Marcus Paige,UNC,1,5,28,12,4,3,.286,.250,1.000,5.6,2.4,0.8,0.6,0.0,-.006,-8.8,0.0
553,56,DEN,Daniel Hamilton,UConn,2,25,232,69,52,30,.394,.357,.500,9.3,2.8,2.1,1.2,0.0,.000,-3.3,-0.1
554,57,MEM,Wang Zhelin,,,,,,,,,,,,,,,,,,
555,58,BOS,Abdel Nader,Iowa State,5,202,2583,926,376,110,.428,.357,.718,12.8,4.6,1.9,0.5,2.8,.052,-2.6,-0.4
556,59,SAC,Isaiah Cousins,Oklahoma,,,,,,,,,,,,,,,,,
557,60,UTA,Tyrone Wallace,California,3,106,1639,549,228,126,.425,.203,.671,15.5,5.2,2.2,1.2,0.2,.006,-5.1,-1.3
558,1,PHI,Markelle Fultz,Washington,4,113,2891,1228,376,524,.447,.265,.695,25.6,10.9,3.3,4.6,3.1,.052,-2.2,-0.2
559,2,LAL,Lonzo Ball,UCLA,5,249,8105,2953,1432,1548,.399,.363,.577,32.6,11.9,5.8,6.2,11.6,.069,1.0,6.2
560,3,BOS,Jayson Tatum,Duke,5,325,10770,6513,2113,909,.452,.386,.840,33.1,20.0,6.5,2.8,28.6,.127,2.2,11.5
561,4,PHO,Josh Jackson,Kansas,5,269,6415,3163,1111,522,.417,.297,.677,23.8,11.8,4.1,1.9,-1.5,-.011,-3.7,-2.8
562,5,SAC,De'Aaron Fox,Kentucky,5,301,9544,5576,1046,1869,.457,.315,.723,31.7,18.5,3.5,6.2,14.7,.074,0.1,5.0
563,6,ORL,Jonathan Isaac,Florida State,3,136,3512,1269,741,146,.435,.330,.797,25.8,9.3,5.4,1.1,6.7,.091,0.2,2.0
564,7,MIN,Lauri Markkanen,Arizona,5,252,7450,3849,1724,325,.436,.359,.846,29.6,15.3,6.8,1.3,13.8,.089,-0.2,3.3
565,8,NYK,Frank Ntilikina,,5,241,4556,1303,462,607,.367,.331,.773,18.9,5.4,1.9,2.5,0.2,.002,-4.2,-2.5
566,9,DAL,Dennis Smith Jr.,NC State,5,200,4877,2227,599,855,.399,.313,.653,24.4,11.1,3.0,4.3,-0.9,-.009,-2.4,-0.4
567,10,SAC,Zach Collins,Gonzaga,3,154,2691,881,614,139,.444,.324,.722,17.5,5.7,4.0,0.9,3.9,.069,-2.6,-0.4
568,11,CHO,Malik Monk,Kentucky,5,269,5095,2560,564,489,.413,.348,.843,18.9,9.5,2.1,1.8,3.9,.037,-2.2,-0.3
569,12,DET,Luke Kennard,Duke,5,262,6069,2543,737,529,.446,.419,.862,23.2,9.7,2.8,2.0,12.1,.096,-0.4,2.5
570,13,DEN,Donovan Mitchell,Louisville,5,314,10569,7429,1288,1371,.441,.360,.834,33.7,23.7,4.1,4.4,26.1,.119,2.3,11.5
571,14,MIA,Bam Adebayo,Kentucky,5,305,8433,3886,2469,1056,.555,.156,.740,27.6,12.7,8.1,3.5,30.1,.171,2.7,10.0
572,15,POR,Justin Jackson,UNC,5,252,4767,1656,636,274,.428,.323,.799,18.9,6.6,2.5,1.1,5.4,.054,-2.8,-1.0
573,16,CHI,Justin Patton,Creighton,4,22,296,86,60,19,.404,.250,.667,13.5,3.9,2.7,0.9,0.4,.066,-2.8,-0.1
574,17,MIL,D.J. Wilson,Michigan,5,145,1797,641,450,107,.417,.327,.618,12.4,4.4,3.1,0.7,2.8,.073,-2.6,-0.3
575,18,IND,T.J. Leaf,UCLA,4,146,1238,477,283,43,.492,.341,.585,8.5,3.3,1.9,0.3,2.7,.104,-1.8,0.1
576,19,ATL,John Collins,Wake Forest,5,273,7934,4555,2288,424,.564,.388,.779,29.1,16.7,8.4,1.6,27.1,.164,1.6,7.2
577,20,POR,Harry Giles,Duke,3,142,1835,832,543,174,.511,.258,.671,12.9,5.9,3.8,1.2,3.0,.079,-2.4,-0.2
578,21,OKC,Terrance Ferguson,,4,204,4000,924,263,144,.404,.334,.753,19.6,4.5,1.3,0.7,4.4,.053,-4.0,-2.1
579,22,BRK,Jarrett Allen,Texas,5,318,8333,3597,2715,436,.625,.196,.697,26.2,11.3,8.5,1.4,32.2,.185,1.7,7.8
580,23,TOR,OG Anunoby,Indiana,5,275,7120,2741,1097,357,.473,.374,.716,25.9,10.0,4.0,1.3,15.8,.107,0.1,3.8
581,24,UTA,Tyler Lydon,Syracuse,2,26,96,23,18,6,.500,.400,.333,3.7,0.9,0.7,0.2,0.2,.084,-4.3,-0.1
582,25,ORL,Anžejs Pasečņiks,,2,28,443,156,108,19,.521,.000,.586,15.8,5.6,3.9,0.7,0.4,.038,-6.2,-0.5
583,26,POR,Caleb Swanigan,Purdue,3,75,655,169,218,56,.438,.118,.614,8.7,2.3,2.9,0.7,-0.2,-.015,-6.2,-0.7
584,27,BRK,Kyle Kuzma,Utah,5,314,9458,4786,1886,633,.447,.336,.722,30.1,15.2,6.0,2.0,13.8,.070,-1.1,2.1
585,28,LAL,Tony Bradley,UNC,5,137,1724,705,642,76,.639,.429,.684,12.6,5.1,4.7,0.6,7.0,.195,0.6,1.1
586,29,SAS,Derrick White,Colorado,5,225,5738,2570,733,842,.446,.342,.834,25.5,11.4,3.3,3.7,13.0,.109,1.3,4.8
587,30,UTA,Josh Hart,Villanova,5,273,7297,2511,1542,527,.444,.347,.734,26.7,9.2,5.6,1.9,13.9,.091,-0.5,2.8
590,31,CHO,Frank Jackson,Duke,4,193,3453,1608,354,197,.425,.344,.779,17.9,8.3,1.8,1.0,2.3,.032,-3.9,-1.6
591,32,PHO,Davon Reed,Miami (FL),3,44,509,131,83,33,.358,.333,.706,11.6,3.0,1.9,0.8,0.3,.030,-3.3,-0.2
592,33,ORL,Wes Iwundu,Kansas State,5,226,3827,989,555,208,.408,.292,.798,16.9,4.4,2.5,0.9,4.2,.053,-3.9,-1.8
593,34,SAC,Frank Mason III,Kansas,4,103,1616,695,204,272,.396,.301,.755,15.7,6.7,2.0,2.6,1.2,.035,-2.6,-0.3
594,35,ORL,Ivan Rabb,California,2,85,1237,485,364,86,.555,.200,.743,14.6,5.7,4.3,1.0,3.2,.125,-1.7,0.1
595,36,PHI,Jonah Bolden,,2,51,686,217,174,40,.486,.340,.484,13.5,4.3,3.4,0.8,1.4,.098,-1.3,0.1
596,37,BOS,Semi Ojeleye,SMU,5,270,3992,922,596,122,.380,.339,.710,14.8,3.4,2.2,0.5,4.9,.059,-3.5,-1.5
597,38,CHI,Jordan Bell,Oregon,5,161,1937,593,497,201,.552,.200,.636,12.0,3.7,3.1,1.2,4.9,.121,0.2,1.1
598,39,PHI,Jawun Evans,Oklahoma State,2,56,843,237,96,110,.345,.263,.776,15.1,4.2,1.7,2.0,-0.4,-.022,-5.4,-0.7
599,40,NOP,Dwayne Bacon,Florida State,4,207,4012,1503,537,230,.402,.314,.780,19.4,7.3,2.6,1.1,0.8,.010,-5.1,-3.1
600,41,ATL,Tyler Dorsey,Oregon,2,104,1672,701,243,135,.389,.350,.669,16.1,6.7,2.3,1.3,1.0,.030,-3.1,-0.5
601,42,UTA,Thomas Bryant,Indiana,4,143,2986,1532,863,196,.600,.362,.748,20.9,10.7,6.0,1.4,10.5,.169,1.8,2.9
602,43,HOU,Isaiah Hartenstein,,4,126,1523,618,454,142,.599,.300,.667,12.1,4.9,3.6,1.1,5.6,.177,0.9,1.1
603,44,NYK,Damyean Dotson,Oregon,5,213,4242,1594,532,315,.417,.345,.711,19.9,7.5,2.5,1.5,3.0,.034,-2.8,-0.9
604,45,HOU,Dillon Brooks,Oregon,5,261,7376,3752,796,515,.420,.351,.800,28.3,14.4,3.0,2.0,4.8,.031,-3.8,-3.4
605,46,PHI,Sterling Brown,SMU,5,247,4287,1402,852,261,.424,.371,.789,17.4,5.7,3.4,1.1,6.6,.074,-1.9,0.1
606,47,IND,Ike Anigbogu,UCLA,2,14,36,13,12,1,.333,,.833,2.6,0.9,0.9,0.1,0.0,.057,-1.1,0.0
607,48,MIL,Sindarius Thornwell,South Carolina,4,160,1721,401,206,111,.407,.340,.672,10.8,2.5,1.3,0.7,1.1,.032,-3.1,-0.5
608,49,DEN,Vlatko Čančar,,3,69,478,162,83,30,.484,.333,.793,6.9,2.3,1.2,0.4,0.8,.078,-2.3,0.0
609,50,PHI,Mathias Lessort,,,,,,,,,,,,,,,,,,
610,51,DEN,Monte Morris,Iowa State,5,240,5873,2447,524,856,.480,.393,.807,24.5,10.2,2.2,3.6,15.2,.124,0.3,3.4
611,52,NOP,Edmond Sumner,Xavier,4,108,1520,619,165,114,.474,.333,.728,14.1,5.7,1.5,1.1,1.9,.061,-3.2,-0.4
612,53,BOS,Kadeem Allen,Arizona,3,47,640,258,71,109,.435,.349,.757,13.6,5.5,1.5,2.3,1.0,.075,-1.2,0.1
613,54,PHO,Alec Peters,Valparaiso,1,20,225,82,37,12,.378,.310,.800,11.3,4.1,1.9,0.6,0.3,.055,-2.8,0.0
614,55,UTA,Nigel Williams-Goss,Gonzaga,1,10,50,14,6,6,.313,.286,1.000,5.0,1.4,0.6,0.6,0.0,.017,-3.9,0.0
615,56,BOS,Jabari Bird,California,1,13,115,39,19,8,.577,.429,.462,8.8,3.0,1.5,0.6,0.2,.098,-3.1,0.0
616,57,BRK,Sasha Vezenkov,,,,,,,,,,,,,,,,,,
617,58,NYK,Ognjen Jaramaz,,,,,,,,,,,,,,,,,,
618,59,SAS,Jaron Blossomgame,Clemson,1,27,439,114,98,13,.443,.256,.769,16.3,4.2,3.6,0.5,0.3,.030,-3.8,-0.2
619,60,ATL,Alpha Kaba,,,,,,,,,,,,,,,,,,
620,1,PHO,Deandre Ayton,Arizona,4,203,6303,3266,2167,336,.593,.182,.746,31.0,16.1,10.7,1.7,20.7,.158,1.0,4.7
621,2,SAC,Marvin Bagley III,Duke,4,140,3474,1893,1036,129,.491,.297,.669,24.8,13.5,7.4,0.9,5.9,.081,-2.3,-0.3
622,3,ATL,Luka Dončić,,4,224,7497,5736,1869,1759,.455,.330,.734,33.5,25.6,8.3,7.9,23.2,.148,6.2,15.5
623,4,MEM,Jaren Jackson Jr.,Michigan State,4,167,4523,2617,822,201,.461,.356,.786,27.1,15.7,4.9,1.2,10.2,.108,0.0,2.3
624,5,DAL,Trae Young,Oklahoma,4,239,7961,5902,942,2142,.435,.347,.866,33.3,24.7,3.9,9.0,20.4,.123,2.5,9.0
625,6,ORL,Mo Bamba,Texas,4,187,3268,1313,1070,165,.465,.328,.663,17.5,7.0,5.7,0.9,7.6,.111,-0.1,1.6
626,7,CHI,Wendell Carter Jr.,Duke,4,178,4827,2030,1535,333,.502,.291,.744,27.1,11.4,8.6,1.9,11.4,.114,-1.0,1.1
627,8,CLE,Collin Sexton,Alabama,4,218,7179,4356,663,720,.458,.378,.827,32.9,20.0,3.0,3.3,5.5,.037,-2.5,-0.9
628,9,NYK,Kevin Knox,Kentucky,4,193,3894,1592,601,165,.370,.347,.703,20.2,8.2,3.1,0.9,-0.4,-.004,-4.6,-2.6
629,10,PHI,Mikal Bridges,Villanova,4,266,8132,2804,1019,524,.501,.380,.832,30.6,10.5,3.8,2.0,19.7,.116,0.9,6.0
630,11,CHO,Shai Gilgeous-Alexander,Kentucky,4,221,6970,3794,968,884,.466,.347,.810,31.5,17.2,4.4,4.0,15.0,.103,1.3,5.8
631,12,LAC,Miles Bridges,Michigan State,4,249,6982,3024,1355,496,.465,.347,.797,28.0,12.1,5.4,2.0,11.8,.081,-0.7,2.3
632,13,LAC,Jerome Robinson,Boston College,3,113,1604,514,208,131,.363,.310,.721,14.2,4.5,1.8,1.2,-0.1,-.003,-4.7,-1.1
633,14,DEN,Michael Porter Jr.,Missouri,3,125,3080,1763,763,133,.518,.419,.795,24.6,14.1,6.1,1.1,9.6,.150,2.1,3.1
634,15,WAS,Troy Brown Jr.,Oregon,4,181,3407,1232,702,316,.430,.327,.753,18.8,6.8,3.9,1.7,4.2,.059,-2.0,0.0
635,16,PHO,Zhaire Smith,Texas Tech,2,13,143,48,15,12,.378,.316,.667,11.0,3.7,1.2,0.9,0.0,.011,-6.1,-0.1
636,17,MIL,Donte DiVincenzo,Villanova,4,162,3795,1451,780,390,.430,.350,.739,23.4,9.0,4.8,2.4,8.5,.108,0.3,2.3
637,18,SAS,Lonnie Walker IV,Miami (FL),4,173,3421,1511,412,262,.415,.352,.796,19.8,8.7,2.4,1.5,1.6,.022,-3.2,-1.1
638,19,ATL,Kevin Huerter,Maryland,4,232,6841,2598,814,754,.428,.375,.783,29.5,11.2,3.5,3.3,7.5,.053,-1.5,1.0
639,20,MIN,Josh Okogie,Georgia Tech,4,220,4849,1492,698,271,.401,.272,.756,22.0,6.8,3.2,1.2,5.1,.050,-2.9,-1.2
640,21,UTA,Grayson Allen,Duke,4,162,3416,1500,389,233,.421,.384,.835,21.1,9.3,2.4,1.4,6.2,.087,-1.1,0.8
641,22,CHI,Chandler Hutchison,Boise State,4,103,1790,558,376,79,.442,.309,.643,17.4,5.4,3.7,0.8,1.1,.030,-3.9,-0.9
642,23,IND,Aaron Holiday,UCLA,4,215,3990,1602,364,498,.411,.371,.828,18.6,7.5,1.7,2.3,3.8,.045,-2.5,-0.5
643,24,POR,Anfernee Simons,,4,188,3566,1628,392,291,.420,.388,.833,19.0,8.7,2.1,1.5,3.4,.045,-2.6,-0.6
644,25,LAL,Moritz Wagner,Michigan,4,164,2361,1111,523,156,.474,.320,.813,14.4,6.8,3.2,1.0,3.9,.079,-2.5,-0.3
645,26,PHI,Landry Shamet,Wichita State,4,228,5380,2055,420,369,.411,.392,.834,23.6,9.0,1.8,1.6,9.3,.083,-1.8,0.2
646,27,BOS,Robert Williams,Texas A&M,4,144,2553,952,842,182,.729,.000,.624,17.7,6.6,5.8,1.3,12.8,.241,4.8,4.3
