,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
329,20,CHI,Tony Snell,New Mexico,9,575,12610,3547,1308,657,.431,.396,.845,21.9,6.2,2.3,1.1,18.2,.069,-2.0,0.2
330,21,UTA,Gorgui Dieng,Louisville,9,581,12171,4418,3399,776,.500,.361,.792,20.9,7.6,5.9,1.3,30.3,.119,0.3,7.1
331,22,BRK,Mason Plumlee,Duke,9,619,13742,5210,4032,1472,.580,.050,.565,22.2,8.4,6.5,2.4,41.3,.144,1.3,11.6
332,23,IND,Solomon Hill,Arizona,9,448,9652,2453,1399,662,.388,.331,.797,21.5,5.5,3.1,1.5,11.9,.059,-2.1,-0.3
333,24,NYK,Tim Hardaway Jr.,Michigan,9,578,15634,8045,1629,1085,.422,.358,.812,27.0,13.9,2.8,1.9,25.8,.079,-0.8,4.8
334,25,LAC,Reggie Bullock,UNC,9,399,8674,3014,949,478,.429,.385,.839,21.7,7.6,2.4,1.2,15.7,.087,-0.9,2.5
335,26,MIN,Andre Roberson,Colorado,7,307,6801,1382,1230,265,.473,.253,.468,22.2,4.5,4.0,0.9,12.6,.089,-0.6,2.3
336,27,DEN,Rudy Gobert,,9,582,17368,7139,6708,774,.650,.000,.634,29.8,12.3,11.5,1.3,81.7,.226,4.0,26.4
337,28,SAS,Livio Jean-Charles,,,,,,,,,,,,,,,,,,
338,29,OKC,Archie Goodwin,Kentucky,4,165,2396,1040,331,206,.429,.236,.700,14.5,6.3,2.0,1.2,1.1,.022,-3.0,-0.6
339,30,PHO,Nemanja Nedović,,1,24,142,26,15,13,.205,.167,.875,5.9,1.1,0.6,0.5,-0.4,-.132,-10.0,-0.3
342,31,CLE,Allen Crabbe,California,7,381,9125,3453,1073,434,.425,.387,.831,24.0,9.1,2.8,1.1,13.7,.072,-1.6,0.9
343,32,OKC,Álex Abrines,,3,174,2777,924,248,88,.387,.368,.880,16.0,5.3,1.4,0.5,5.0,.086,-1.9,0.1
344,33,CLE,Carrick Felix,Arizona State,1,7,38,19,6,4,.500,.400,.750,5.4,2.7,0.9,0.6,0.0,.057,-3.4,0.0
345,34,HOU,Isaiah Canaan,Murray State,6,235,4799,1913,438,454,.371,.351,.836,20.4,8.1,1.9,1.9,4.3,.043,-2.4,-0.5
346,35,PHI,Glen Rice Jr.,Georgia Tech,2,16,152,43,24,9,.269,.250,.692,9.5,2.7,1.5,0.6,-0.2,-.065,-6.6,-0.2
347,36,SAC,Ray McCallum,Detroit Mercy,3,154,2808,920,306,368,.408,.335,.711,18.2,6.0,2.0,2.4,2.1,.035,-2.6,-0.4
348,37,DET,Tony Mitchell,University of North Texas,1,21,79,22,26,2,.417,1.000,.579,3.8,1.0,1.2,0.1,0.2,.151,0.4,0.0
349,38,WAS,Nate Wolters,South Dakota State,3,84,1575,461,185,209,.423,.261,.635,18.8,5.5,2.2,2.5,0.9,.028,-2.6,-0.2
350,39,POR,Jeff Withey,Kansas,5,206,2072,666,518,64,.525,.143,.716,10.1,3.2,2.5,0.3,6.8,.157,0.5,1.3
351,40,POR,Grant Jerrett,Arizona,1,8,51,16,9,3,.269,.067,1.000,6.4,2.0,1.1,0.4,-0.1,-.128,-10.8,-0.1
352,41,MEM,Jamaal Franklin,San Diego State,2,24,174,42,25,9,.415,.462,1.000,7.3,1.8,1.0,0.4,0.0,-.006,-5.9,-0.2
353,42,PHI,Pierre Jackson,Baylor,1,8,84,35,9,19,.333,.273,.857,10.5,4.4,1.1,2.4,0.0,.021,-4.4,-0.1
354,43,MIL,Ricky Ledo,Providence,2,28,277,109,38,21,.336,.371,.769,9.9,3.9,1.4,0.8,-0.6,-.096,-7.6,-0.4
355,44,DAL,Mike Muscala,Bucknell,9,421,6548,2581,1340,373,.458,.374,.851,15.6,6.1,3.2,0.9,16.3,.120,0.1,3.6
356,45,POR,Marko Todorović,,,,,,,,,,,,,,,,,,
357,46,UTA,Erick Green,Virginia Tech,2,52,452,159,37,42,.377,.288,.857,8.7,3.1,0.7,0.8,0.1,.011,-4.0,-0.2
358,47,ATL,Raul Neto,,7,351,5585,2048,549,708,.451,.370,.805,15.9,5.8,1.6,2.0,9.0,.078,-1.5,0.6
359,48,LAL,Ryan Kelly,Duke,4,163,3125,981,504,215,.378,.316,.797,19.2,6.0,3.1,1.3,3.0,.046,-2.6,-0.5
360,49,CHI,Erik Murphy,Florida,1,24,62,6,8,2,.231,.000,,2.6,0.3,0.3,0.1,-0.1,-.055,-8.6,-0.1
361,50,ATL,James Ennis III,Cal State Long Beach,8,392,8008,2625,1304,370,.457,.361,.798,20.4,6.7,3.3,0.9,16.2,.097,-1.5,1.0
362,51,ORL,Romero Osby,Oklahoma,,,,,,,,,,,,,,,,,
363,52,MIN,Lorenzo Brown,NC State,5,103,1185,293,151,183,.364,.170,.707,11.5,2.8,1.5,1.8,-0.2,-.007,-3.5,-0.5
364,53,IND,Colton Iverson,Colorado State,,,,,,,,,,,,,,,,,
365,54,WAS,Arsalan Kazemi,Oregon,,,,,,,,,,,,,,,,,
