,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
648,29,BRK,Džanan Musa,,2,49,526,211,91,45,.376,.227,.726,10.7,4.3,1.9,0.9,0.0,.003,-4.6,-0.4
649,30,ATL,Omari Spellman,Villanova,2,95,1691,642,413,94,.417,.366,.766,17.8,6.8,4.3,1.0,2.4,.068,-1.5,0.2
652,31,PHO,Elie Okobo,,2,108,1677,523,188,242,.395,.315,.737,15.5,4.8,1.7,2.2,0.5,.014,-4.1,-0.9
653,32,MEM,Jevon Carter,West Virginia,4,184,2556,770,316,253,.374,.371,.800,13.9,4.2,1.7,1.4,3.4,.065,-1.1,0.6
654,33,DAL,Jalen Brunson,Villanova,4,225,5105,2400,642,792,.491,.367,.774,22.7,10.7,2.9,3.5,12.2,.115,-0.4,2.1
655,34,ATL,Devonte' Graham,Kansas,4,191,5386,2537,489,1008,.374,.363,.817,28.2,13.3,2.6,5.3,8.1,.072,-0.5,2.0
656,35,ORL,Melvin Frazier,Tulane,2,29,170,55,15,4,.400,.364,.375,5.9,1.9,0.5,0.1,0.0,.008,-5.4,-0.2
657,36,NYK,Mitchell Robinson,,4,184,4256,1515,1300,105,.711,,.578,23.1,8.2,7.1,0.6,19.1,.215,2.0,4.3
658,37,SAC,Gary Trent Jr.,Duke,4,160,4149,1912,345,198,.421,.391,.804,25.9,12.0,2.2,1.2,6.3,.073,-1.3,0.7
659,38,PHI,Khyri Thomas,Creighton,3,39,409,160,39,36,.388,.316,.750,10.5,4.1,1.0,0.9,0.5,.058,-2.7,-0.1
660,39,PHI,Isaac Bonga,,4,138,1856,438,319,117,.433,.302,.763,13.4,3.2,2.3,0.8,1.7,.043,-3.8,-0.8
661,40,BRK,Rodions Kurucs,,3,131,2103,780,406,113,.444,.329,.739,16.1,6.0,3.1,0.9,2.3,.052,-2.8,-0.4
662,41,ORL,Jarred Vanderbilt,Kentucky,4,119,1904,547,622,113,.585,.188,.617,16.0,4.6,5.2,0.9,5.4,.135,-0.5,0.7
663,42,DET,Bruce Brown,Miami (FL),4,221,5073,1574,911,452,.471,.300,.741,23.0,7.1,4.1,2.0,9.1,.086,-1.6,0.5
664,43,DEN,Justin Jackson,Maryland,,,,,,,,,,,,,,,,,
665,44,WAS,Issuf Sanon,,,,,,,,,,,,,,,,,,
666,45,BRK,Hamidou Diallo,Kentucky,4,169,2971,1256,594,169,.471,.292,.636,17.6,7.4,3.5,1.0,3.6,.058,-3.0,-0.7
667,46,HOU,De'Anthony Melton,USC,4,188,3828,1439,620,534,.412,.349,.769,20.4,7.7,3.3,2.8,5.0,.063,-0.2,1.7
668,47,LAL,Svi Mykhailiuk,Kansas,4,192,3530,1385,374,285,.403,.358,.780,18.4,7.2,1.9,1.5,2.6,.035,-2.6,-0.5
669,48,MIN,Keita Bates-Diop,Ohio State,4,125,1795,597,332,70,.433,.294,.690,14.4,4.8,2.7,0.6,2.1,.056,-2.7,-0.3
670,49,SAS,Chimezie Metu,USC,4,99,1093,472,282,66,.460,.291,.733,11.0,4.8,2.8,0.7,0.9,.041,-3.3,-0.4
